"","V1","V2","V3"
"1",0,0,10
"2",0,0,14
"3",196,0,14
"4",0,0,14
"5",0,0,12
"6",0,0,10
"7",0,0,14
"8",0,0,14
"9",0,0,12
"10",0,0,12
"11",0,0,12
"12",0,0,8
"13",0,0,14
"14",0,0,12
"15",0,0,14
"16",160,0,14
"17",0,0,14
"18",0,0,16
"19",0,0,12
"20",0,0,12
"21",0,0,12
"22",0,0,16
"23",0,0,14
"24",0,0,10
"25",0,0,16
"26",0,0,14
"27",0,0,12
"28",0,0,14
"29",0,0,16
"30",0,0,14
"31",0,0,14
"32",0,0,16
"33",0,0,12
"34",164,10,14
"35",0,0,14
"36",0,0,12
"37",0,0,14
"38",0,0,14
"39",0,0,14
"40",0,0,12
"41",0,0,16
"42",0,0,12
"43",0,0,8
"44",0,0,14
"45",0,0,14
"46",0,0,16
"47",0,0,10
"48",0,0,12
"49",0,0,10
"50",0,0,14
