"","V1","V2","V3"
"result.1",0,0,12
"result.2",0,0,14
"result.3",0,0,12
"result.4",0,0,12
"result.5",0,0,14
"result.6",0,0,14
"result.7",0,0,14
"result.8",0,0,14
"result.9",0,0,12
"result.10",0,0,12
"result.11",0,0,12
"result.12",0,0,12
"result.13",0,0,14
"result.14",0,0,12
"result.15",0,0,14
"result.16",0,2,14
"result.17",0,0,12
"result.18",0,0,14
"result.19",0,0,14
"result.20",0,0,14
"result.21",0,0,16
"result.22",0,0,14
"result.23",0,0,12
"result.24",0,0,14
"result.25",0,0,12
"result.26",0,0,14
"result.27",0,0,14
"result.28",0,0,16
"result.29",0,0,14
"result.30",0,0,12
"result.31",0,0,14
"result.32",0,0,14
"result.33",0,0,14
"result.34",0,0,14
"result.35",0,0,12
"result.36",0,0,14
"result.37",0,0,14
"result.38",0,0,14
"result.39",0,0,14
"result.40",0,0,14
"result.41",0,2,14
"result.42",0,0,12
"result.43",0,0,14
"result.44",0,0,14
"result.45",0,0,14
"result.46",0,0,14
"result.47",0,0,12
"result.48",0,0,12
"result.49",0,0,14
"result.50",0,0,12
