"","V1","V2","V3"
"1",0,0,0.018098695710636
"2",0,0,0.0176936501543831
"3",0,0,0.0265754894073478
"4",0,0,0.0155885897950984
"5",0.333333333333333,0.19561621838619,0.226816539542352
"6",0,0,0.0180172879524581
"7",0,0,0.016747311827957
"8",0,0,0.0100093670547304
"9",0,0,0.0168745808182428
"10",0,0,0.0230738200887455
"result.1",0,0.01,0.0284281842818428
"result.2",0,0,0.0240657084188912
"result.3",0,0,0.0244262295081967
"result.4",0.308556430446194,0.306535433070866,0.425144356955381
"result.5",0,0,0.0183703703703704
"result.6",1.46666666666667,0.625,1.21748448956571
"result.7",0,0,0.0136897529364115
"result.8",0,0,0.0189927267737066
"result.9",0,0,0.0257080610021787
"result.10",0,0,0.0228923736764509
"result.11",0,0,0.0215718157181572
"result.12",0,0,0.0263411943180251
"result.13",0,0,0.0241861716437988
"result.14",0,0,0.0207221773106979
"result.15",0,0,0.0196969696969697
"result.16",0,0,0.015870423302028
"result.17",0,0,0.0182926829268293
"result.18",0,0,0.0231693989071038
"result.19",0,0,0.0140894872841017
"result.20",0,0,0.037940379403794
"result.21",0,0,0.0132521974306964
"result.22",0,0.005,0.017312134800924
"result.23",0,0,0.0330495878935279
"result.24",0,2.03004466098256e-05,0.0146163215590743
"result.25",0,0,0.035969868173258
"result.26",0,0.005,0.0196476964769648
"result.27",0,5.28541226215645e-06,0.0193446088794926
"result.28",0.00242308305435996,0.00127450980392158,0.0253786067272438
"result.29",0,0,0.010848928668294
"result.30",0,0,0.017174590274956
"result.31",0.866666666666667,0.499747035573123,0.663188405797101
"result.32",0,0,0.0191611842105263
"result.33",0,0,0.0161673414304993
"result.34",0,0,0.0280501089324619
"result.35",0,0,0.0217509516041327
"result.36",0,0,0.0308006535947712
"result.37",0,0,0.0180897646414888
"result.38",0,0,0.026537216828479
"result.39",0,0,0.0182407782732063
"result.40",0,0,0.017195551939246
