"","V1","V2","V3"
"1",107,16,16
"2",107,16,16
"3",107,16,14
"4",107,16,14
"5",107,16,10
"6",107,16,14
"7",107,16,14
"8",107,16,16
"9",107,16,16
"10",107,12,16
"11",107,16,14
"12",107,16,10
"13",107,16,14
"14",107,16,16
"15",171,16,14
"16",107,16,14
"17",107,16,14
"18",107,16,16
"19",107,16,16
"20",107,16,16
"21",171,16,18
"22",107,16,14
"23",107,16,16
"24",107,16,16
"25",107,16,14
"26",107,16,16
"27",107,16,16
"28",181,16,18
"29",107,16,14
"30",107,16,16
"31",173,16,10
"32",107,16,16
"33",107,16,16
"34",107,16,14
"35",107,16,16
"36",107,16,14
"37",107,16,16
"38",107,16,16
"39",107,16,16
"40",107,16,14
"41",107,16,14
"42",107,12,16
"43",107,12,14
"44",153,16,12
"45",107,16,16
"46",107,16,10
"47",107,12,14
"48",107,16,16
"49",107,12,12
"50",107,16,16
