"","V1","V2","V3"
"result.1",16,109,18
"result.2",12,107,18
"result.3",16,107,16
"result.4",12,111,18
"result.5",12,153,18
"result.6",16,107,18
"result.7",16,107,16
"result.8",16,107,16
"result.9",16,107,16
"result.10",12,117,18
"result.11",16,107,16
"result.12",16,107,18
"result.13",16,107,16
"result.14",16,107,18
"result.15",12,107,18
"result.16",12,107,18
"result.17",12,111,18
"result.18",16,107,16
"result.19",12,159,18
"result.20",12,107,18
"result.21",16,107,16
"result.22",12,107,18
"result.23",12,127,18
"result.24",16,107,16
"result.25",16,107,16
"result.26",16,107,16
"result.27",16,107,18
"result.28",12,107,18
"result.29",12,135,18
"result.30",16,107,18
"result.31",16,107,16
"result.32",12,107,18
"result.33",16,107,16
"result.34",12,107,18
"result.35",16,107,16
"result.36",16,107,16
"result.37",12,151,18
"result.38",12,133,18
"result.39",12,107,18
"result.40",16,107,18
"result.41",12,107,18
"result.42",16,107,16
"result.43",16,107,18
"result.44",12,115,18
"result.45",12,131,18
"result.46",16,107,18
"result.47",12,135,18
"result.48",12,109,18
"result.49",12,143,18
"result.50",16,107,16
