"","V1","V2","V3"
"result.1",0,0,0.766982297241663
"result.2",0,0,0.771276595744681
"result.3",0,0.704231082180635,0.98820179007323
"result.4",0,0,0.677165354330709
"result.5",0,0,1.73909531502423
"result.6",0,0,0.79707198047987
"result.7",0,0,0.547008547008547
"result.8",0,0,0.353225806451613
"result.9",0,0,0.55514096185738
"result.10",13,98.036761487965,12.3045951859956
"result.11",0,0,1.24112903225806
"result.12",0,0,0.912459283387622
"result.13",0,0,0.773251028806584
"result.14",5,42.8887096774194,3.60685483870968
"result.15",0,0,0.906377759607523
"result.16",0,0,0.757427757427757
"result.17",0,0,0.673965936739659
"result.18",0,0,0.575881870385562
"result.19",0,0,0.806902218570255
"result.20",0,0,0.851279967492889
"result.21",0,0,0.835644371941273
"result.22",0,0,0.959575336872193
"result.23",0,0,0.952845528455285
"result.24",0,0,0.663386633866339
"result.25",0,0,0.660300690776107
"result.26",0,0,0.603265306122449
"result.27",0,0,0.705117790414297
"result.28",1.00443786982248,0.0315581854043376,1.17751479289941
"result.29",0,1,0.827085852478839
"result.30",0,0,1.41288492706645
