"","V1","V2","V3"
"result.1",0,0,0.301150369761709
"result.2",0,0,0.285018270401949
"result.3",0,0,0.341513292433538
"result.4",0,0,0.262207632334838
"result.5",0.261363636363636,0,1.07142857142857
"result.6",0,0,0.291819291819292
"result.7",0,1,0.255937755937756
"result.8",0,0,0.145432199918066
"result.9",0,0,0.284668564457096
"result.10",0,0.246015529219452,0.256232120964446
"result.11",0,0,0.413256955810147
"result.12",0,0,0.417783191230207
"result.13",0,0,0.29514879739095
"result.14",0,0,0.585485854858549
"result.15",0,0,0.235749185667753
"result.16",0,0,0.305194805194805
"result.17",0,0.0439967105263158,0.250822368421053
"result.18",4.00869061413673,33.9409038238702,3.33719582850521
"result.19",12,61,13.1179680940386
"result.20",0,0,0.276429452900041
"result.21",0,0,0.280246913580247
"result.22",0,0,0.39837067209776
"result.23",0,0,0.382341028756582
"result.24",0,0,0.262791649611134
"result.25",0,0,0.22396694214876
"result.26",0,0,0.25793327908869
"result.27",0,0,0.276999175597692
"result.28",0,0,0.329512893982808
"result.29",0,1,0.341887417218543
"result.30",0,0,0.523184242921625
