"","V1","V2","V3"
"1",0,0,0.25020475020475
"2",0,0,0.308134757600657
"3",0,0,0.361616161616162
"4",0.00896414342629481,1.05478087649402,0.293326693227092
"5",0,0,1.07278608976951
"6",0,0,0.256745707277187
"7",0,0,0.200080840743735
"8",0,0,0.153439153439153
"9",0,0,0.237012987012987
"10",0,0,0.317152103559871
"result.1",0,0,0.371763754045307
"result.2",0.00294985250737461,0.193952802359881,0.634955752212389
"result.3",0.0410852713178298,0.395348837209303,0.337209302325581
"result.4",0,0,0.789819376026273
"result.5",0,0,0.255737704918033
"result.6",12,63,11.4462227912932
"result.7",0,0.0126324368378158,0.220048899755501
"result.8",0,0.509418509418509,0.2997542997543
"result.9",0,0.00734094616639478,0.312805872756933
"result.10",0,0,0.393828664230613
"result.11",0,0,0.360488798370672
"result.12",0,0,0.417886178861789
"result.13",0,0,0.374847374847375
"result.14",0,0,0.284897959183673
"result.15",0,0,0.28820429671666
"result.16",0,0,0.254790052996331
"result.17",0,0,0.235653235653236
"result.18",0,0,0.325325732899023
"result.19",0,0,0.307879772542648
"result.20",0,0,0.511496571198064
