"","V1","V2","V3"
"result.1",0,0,1.49661181026137
"result.2",0,0,1.7501210653753
"result.3",0,0,1.80318883906328
"result.4",0,0,1.76290165530672
"result.5",0,0,2.52083333333333
"result.6",0,0,1.80183663605607
"result.7",0,0,1.91949563530553
"result.8",0,0,1.28585707146427
"result.9",0,0,1.59027777777778
"result.10",0,0,1.65525793650794
"result.11",0,0,2.11977186311787
"result.12",0,0,1.96610169491525
"result.13",0,0,1.85155863433944
"result.14",0,0,2.26533592989289
"result.15",0,0,1.79643888354187
"result.16",0,0,1.87683284457478
"result.17",0,0,1.59088581669227
"result.18",0,0,1.74165457184325
"result.19",0,0,1.93519882179676
"result.20",0,0,1.73567193675889
"result.21",0,0,1.96660305343511
"result.22",0,0,1.80048661800487
"result.23",0,0,2.04911778731521
"result.24",0,0,1.40866102538576
"result.25",0,0,1.74890297415895
"result.26",0,0,1.83199622463426
"result.27",10.2077922077922,15.3251948051948,6.78597402597403
"result.28",0,0,2.25915221579961
"result.29",0,0,1.7504873294347
"result.30",0,0,2.59057437407953
