"","V1","V2","V3"
"result.1",0,0,0.272947836635665
"result.2",0,0,0.290192926045016
"result.3",0,0,0.371428571428571
"result.4",0,0,0.287089013632719
"result.5",0,0,1.17226041245451
"result.6",0,0,0.282206119162641
"result.7",0.00330305532617636,0.0260115606936403,0.376548307184146
"result.8",10,64,6.45694557270512
"result.9",0,0,0.268440145102781
"result.10",1,0.315553745928339,0.447475570032573
"result.11",0,1,0.41046277665996
"result.12",0,0,0.396447315300767
"result.13",0,0,0.305263157894737
"result.14",0,0,0.659975913287836
"result.15",0,0,0.292486942547208
"result.16",22,125,17.7532971295578
"result.17",0,0,0.226704316256555
"result.18",0,0,0.303822937625755
"result.19",0,0,0.367108966626458
"result.20",0,0,0.297786720321932
"result.21",0,0,0.296596434359806
"result.22",0,0.014050582095544,0.48936170212766
"result.23",0,0,0.489894907033145
"result.24",0,0,0.294401933145389
"result.25",0.00410583941605858,0.0337591240875919,0.300182481751825
"result.26",0.0093659942363109,0.0576368876080675,0.228386167146974
"result.27",0,0,0.290697674418605
"result.28",0,1,0.344548034049453
"result.29",0,0,0.263456090651558
"result.30",0,0.640932850824286,0.448331322878971
