"","V1","V2","V3"
"result.1",0,0,0.21881308033912
"result.2",0,0,0.248888888888889
"result.3",0,0,0.41025641025641
"result.4",0,0,0.243265306122449
"result.5",0,0,1.1760878405856
"result.6",0,0,0.320632346980138
"result.7",0,0,0.229343006852076
"result.8",0,0,0.14604462474645
"result.9",0,0,0.231145536078272
"result.10",0.00328812166050163,0.0374023838882049,0.315659679408138
"result.11",0,0,0.379926859000406
"result.12",0,0,0.296220213640099
"result.13",0.0148486579097659,0.185037121644775,0.343232438606511
"result.14",4.62539184952978,61.5924764890282,6.31661442006269
"result.15",0,0,0.275555555555556
"result.16",22,125,18.2622673434856
"result.17",0,0,0.205346294046172
"result.18",0,0,0.284890901605599
"result.19",0,0,0.38562091503268
"result.20",0,0,0.360375050958011
"result.21",0,0,0.323577235772358
"result.22",0,0,0.395117914770376
"result.23",0,0,0.422747655931512
"result.24",0,0,0.291938110749186
"result.25",0.00455580865603663,0.07441154138193,0.276385725132878
"result.26",0,0,0.242200328407225
"result.27",0,0,0.274486094316808
"result.28",0,0,0.294672131147541
"result.29",0,0,0.397810218978102
"result.30",0,0.172357723577236,0.515447154471545
