"","V1","V2","V3"
"1",0,0,0.33768352365416
"2",0,0,0.279315960912052
"3",0,0,0.353392568659128
"4",0,0,0.246470350947963
"5",0,0,1.23886639676113
"6",0,0,0.320907617504052
"7",0,0,0.218321226795803
"8",0,0,0.150101419878296
"9",0,0,0.207509083568833
"10",8.96082272282076,65.3388834476004,8.24289911851126
"result.1",0,0,0.449737585789261
"result.2",0,0,0.358221134230926
"result.3",0,0,0.377055921052632
"result.4",4.67140600315956,62.3807266982623,6.38941548183254
"result.5",0,0,0.257698541329011
"result.6",12,62,11.771417133707
"result.7",0,0.0709307093070931,0.238212382123821
"result.8",0,0,0.23640081799591
"result.9",1.00825536598789,0.0875068794716555,1.24876169510182
"result.10",0,0,0.277936962750716
"result.11",0,0,0.306477732793522
"result.12",0,0,0.371820750908357
"result.13",0,0,0.37429264349232
"result.14",1.21316108195398,7.814291481631,1.20024222850222
"result.15",0,1,0.237644151565074
"result.16",0,0,0.242165242165242
"result.17",0,2,0.254045307443366
"result.18",0,0,0.309910641754671
"result.19",0,1,0.319210201563143
"result.20",0,0,0.531440162271805
