"","V1","V2","V3"
"1",0,0,0.374534931789996
"2",0,0,0.484787018255578
"3",0,0,0.471185064935065
"4",0,0,0.32657200811359
"5",0,0,1.48884381338742
"6",0,0,0.31519090170593
"7",0,0,0.330470347648262
"8",0,0,0.201808466913276
"9",0,0,0.33265139116203
"10",0,0,0.477722772277228
"result.1",0,0,0.60503860219423
"result.2",0,0,0.448863636363636
"result.3",0.0698080279232114,0.466841186736476,0.483420593368237
"result.4",0.000918695452457596,0.0229673863114384,1.0831419384474
"result.5",0,0,0.387969317723052
"result.6",12.0108031939878,61.1146077970878,12.2949741662752
"result.7",0.0166098807495741,0.376490630323678,0.361158432708688
"result.8",0,0,0.416462917685412
"result.9",0,0.0101999184006528,0.405548755609955
"result.10",10,64,6.72231473771857
"result.11",0,0,0.538745387453875
"result.12",0,0,0.705882352941176
"result.13",0,0,0.523538961038961
"result.14",10,64.9324,12.462
"result.15",0,1,0.345053147996729
"result.16",0,0,0.354549163606691
"result.17",0,0,0.319010944466964
"result.18",0,1,0.479158235532173
"result.19",0,0,0.362474226804124
"result.20",0,0,0.847300564061241
